date ,Organisme ,service ,moins de 1 an ,plus de 75 ans ,entre 1 et 75 ans ,TOTAL passages ,hospitalisés ,UHCD ,Transferts 
27/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,22,67,89,36,0,0
27/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,35,35,12,0,0
27/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,24,26,1,1,0
27/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,7,34,41,7,0,0
27/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,7,47,54,1,7,1
27/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
27/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
26/02/2013,CCOM,CCOM Chirurgie,0,0,26,26,3,0,0
26/02/2013,CH Altkirch,Upatou,0,6,28,34,1,3,1
26/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,31,40,7,0,0
26/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,25,91,116,17,7,1
26/02/2013,CH de Guebwiller,UHTCD,0,2,30,32,1,1,1
26/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,5,0,24,29,4,1,0
26/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,20,77,97,16,8,4
26/02/2013,CH de Saverne,S.A.U. (ADULTES),0,12,35,47,7,6,2
26/02/2013,CH de Saverne,PEDIATRIE,5,0,25,30,2,2,0
26/02/2013,CH de Sélestat,Acceuil des urgences,2,12,55,69,14,5,0
26/02/2013,CH de Thann,Urgences,0,5,40,45,4,2,3
26/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,15,52,67,40,3,0
26/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,18,0,38,56,11,11,0
26/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,27,27,14,0,0
26/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,23,75,98,43,0,0
26/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,1,0,36,37,3,3,0
26/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,38,43,4,0,0
26/02/2013,Clinique des Diaconesses,SOS Main,0,4,28,32,1,0,1
26/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,2,55,57,2,6,1
26/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
26/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
25/02/2013,CCOM,CCOM Chirurgie,0,0,32,32,0,0,0
25/02/2013,CH Altkirch,Upatou,0,10,27,37,8,1,2
25/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,16,0,35,51,12,0,0
25/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,1,22,106,129,20,11,0
25/02/2013,CH de Guebwiller,UHTCD,0,4,36,40,3,2,6
25/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,12,0,35,47,9,1,0
25/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,35,100,135,24,9,3
25/02/2013,CH de Saverne,S.A.U. (ADULTES),0,12,26,38,9,6,2
25/02/2013,CH de Saverne,PEDIATRIE,4,0,10,14,2,0,0
25/02/2013,CH de Sélestat,Acceuil des urgences,2,19,57,78,21,8,0
25/02/2013,CH de Thann,Urgences,0,9,41,50,5,3,1
25/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,21,49,70,43,4,0
25/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,25,27,2,2,0
25/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,22,84,106,49,0,0
25/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,20,0,42,62,4,4,0
25/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),2,0,31,33,11,0,0
25/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,4,34,38,8,0,0
25/02/2013,Clinique des Diaconesses,SOS Main,0,3,33,36,1,0,0
25/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,2,70,72,0,9,3
25/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
25/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
24/02/2013,CCOM,CCOM Chirurgie,0,0,19,19,6,0,0
24/02/2013,CH Altkirch,Upatou,0,6,29,35,4,1,1
24/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,30,39,9,0,0
24/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,92,114,18,7,0
24/02/2013,CH de Guebwiller,UHTCD,1,4,38,43,2,4,2
24/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,14,0,37,51,6,2,0
24/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,17,116,133,19,8,0
24/02/2013,CH de Saverne,S.A.U. (ADULTES),0,9,39,48,5,5,1
24/02/2013,CH de Saverne,PEDIATRIE,6,0,15,21,3,2,0
24/02/2013,CH de Sélestat,Acceuil des urgences,4,9,57,70,15,2,1
24/02/2013,CH de Thann,Urgences,0,2,36,38,2,4,0
24/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,1,21,70,92,47,0,1
24/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,30,33,2,1,0
24/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,17,0,60,77,11,11,0
24/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),1,0,31,32,11,0,0
24/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,21,58,79,39,0,2
24/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,44,49,7,0,0
24/02/2013,Clinique des Diaconesses,SOS Main,0,1,20,21,0,3,0
24/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,56,60,0,1,2
24/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
24/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
23/02/2013,CCOM,CCOM Chirurgie,0,2,24,26,5,0,0
23/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,5,0,37,42,6,0,0
23/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,76,98,22,10,1
23/02/2013,CH de Guebwiller,UHTCD,1,5,34,40,1,1,0
23/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,5,0,30,35,1,1,0
23/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,3,19,139,161,17,13,4
23/02/2013,CH de Saverne,PEDIATRIE,6,0,22,28,4,0,0
23/02/2013,CH de Saverne,S.A.U. (ADULTES),0,19,34,53,12,4,0
23/02/2013,CH de Sélestat,Acceuil des urgences,5,15,71,91,17,8,3
23/02/2013,CH de Thann,Urgences,0,10,41,51,1,2,3
23/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,12,87,99,35,2,3
23/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,36,38,2,2,0
23/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,26,0,48,74,9,9,0
23/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,23,23,8,0,0
23/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,19,85,104,45,0,0
23/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,57,62,5,0,1
23/02/2013,Clinique des Diaconesses,SOS Main,1,2,25,28,0,6,0
23/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,0,60,60,2,7,2
23/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
23/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
22/02/2013,CCOM,CCOM Chirurgie,0,0,23,23,2,0,0
22/02/2013,CH Altkirch,Upatou,0,2,27,29,2,1,1
22/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,11,0,33,44,7,0,2
22/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,22,117,139,28,10,8
22/02/2013,CH de Guebwiller,UHTCD,0,5,27,32,2,2,2
22/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,18,0,24,42,4,2,0
22/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,31,92,123,16,11,2
22/02/2013,CH de Saverne,S.A.U. (ADULTES),0,14,18,32,14,3,3
22/02/2013,CH de Saverne,PEDIATRIE,4,0,20,24,3,1,0
22/02/2013,CH de Sélestat,Acceuil des urgences,1,12,53,66,12,4,2
22/02/2013,CH de Thann,Urgences,0,5,27,32,4,0,1
22/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,19,55,74,40,2,2
22/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,20,20,11,0,0
22/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,40,42,6,6,0
22/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,14,62,76,36,0,1
22/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,21,0,54,75,7,7,0
22/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,9,27,37,3,0,0
22/02/2013,Clinique des Diaconesses,SOS Main,0,2,27,29,10,0,0
22/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,7,53,60,1,8,4
22/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
22/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
21/02/2013,CCOM,CCOM Chirurgie,0,2,25,27,1,0,0
21/02/2013,CH Altkirch,Upatou,0,9,19,28,6,1,1
21/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,8,0,45,53,9,0,0
21/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,33,102,135,24,16,0
21/02/2013,CH de Guebwiller,UHTCD,0,6,33,39,2,1,2
21/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,21,0,20,41,6,2,1
21/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,21,106,127,18,7,2
21/02/2013,CH de Saverne,S.A.U. (ADULTES),0,10,45,55,11,7,3
21/02/2013,CH de Saverne,PEDIATRIE,7,0,12,19,3,0,0
21/02/2013,CH de Sélestat,Acceuil des urgences,0,4,49,53,11,4,1
21/02/2013,CH de Thann,Urgences,0,7,36,43,2,1,4
21/02/2013,CH de Wissembourg,Urgences ,2,11,44,57,18,1,1
21/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,29,52,81,47,3,0
21/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,33,36,6,6,0
21/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,14,73,87,28,0,0
21/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,12,0,46,58,6,6,0
21/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,20,20,7,0,0
21/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),3,7,39,49,3,0,0
21/02/2013,Clinique des Diaconesses,SOS Main,0,1,28,29,9,0,0
21/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,7,66,73,3,10,2
21/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
21/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
20/02/2013,CCOM,CCOM Chirurgie,0,4,26,30,4,0,0
20/02/2013,CH Altkirch,Upatou,0,9,25,34,3,1,0
20/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,10,0,42,52,6,0,0
20/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,24,119,143,16,12,1
20/02/2013,CH de Guebwiller,UHTCD,0,3,25,28,2,2,0
20/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,10,0,18,28,6,3,0
20/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,21,95,117,6,15,5
20/02/2013,CH de Saverne,S.A.U. (ADULTES),0,11,40,51,9,8,0
20/02/2013,CH de Saverne,PEDIATRIE,5,0,18,23,4,1,0
20/02/2013,CH de Sélestat,Acceuil des urgences,0,13,60,73,11,8,2
20/02/2013,CH de Thann,Urgences,0,7,27,34,1,1,6
20/02/2013,CH de Wissembourg,Urgences ,1,7,25,33,8,1,0
20/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,15,65,80,42,0,3
20/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,30,32,2,3,0
20/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,13,0,49,62,8,8,0
20/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,21,21,9,0,0
20/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,18,64,82,36,0,1
20/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),1,5,35,41,4,0,1
20/02/2013,Clinique des Diaconesses,SOS Main,0,0,21,21,0,5,0
20/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,5,53,58,1,3,1
20/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
20/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
19/02/2013,CCOM,CCOM Chirurgie,0,1,25,26,2,0,0
19/02/2013,CH Altkirch,Upatou,0,6,23,29,4,3,1
19/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,11,0,37,48,7,1,0
19/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,27,115,142,19,12,1
19/02/2013,CH de Guebwiller,UHTCD,0,2,34,36,2,1,5
19/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,12,0,24,36,3,1,0
19/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,23,112,135,18,10,3
19/02/2013,CH de Saverne,S.A.U. (ADULTES),0,13,32,45,12,7,0
19/02/2013,CH de Saverne,PEDIATRIE,3,0,19,22,3,0,0
19/02/2013,CH de Sélestat,Acceuil des urgences,1,13,61,75,19,7,0
19/02/2013,CH de Thann,Urgences,0,9,26,35,5,0,1
19/02/2013,CH de Wissembourg,Urgences ,1,7,20,28,6,1,2
19/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,19,62,81,48,1,4
19/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,3,0,31,34,6,6,0
19/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,16,83,99,44,0,1
19/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,16,0,46,62,12,11,0
19/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,24,24,10,0,0
19/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,6,32,38,9,0,2
19/02/2013,Clinique des Diaconesses,SOS Main,0,1,28,29,1,10,0
19/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,1,3,55,59,2,9,1
19/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
19/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
18/02/2013,CCOM,CCOM Chirurgie,0,0,28,28,3,0,0
18/02/2013,CH Altkirch,Upatou,0,9,37,46,2,2,1
18/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,11,0,51,62,7,0,0
18/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,21,124,145,16,12,0
18/02/2013,CH de Guebwiller,UHTCD,0,7,39,46,2,3,2
18/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,17,0,31,48,4,1,0
18/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,26,104,130,15,12,4
18/02/2013,CH de Saverne,PEDIATRIE,3,0,26,29,4,2,0
18/02/2013,CH de Saverne,S.A.U. (ADULTES),0,15,36,51,9,7,0
18/02/2013,CH de Sélestat,Acceuil des urgences,3,13,73,89,20,7,2
18/02/2013,CH de Thann,Urgences,0,5,39,44,2,0,2
18/02/2013,CH de Wissembourg,Urgences ,0,10,23,33,10,1,0
18/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,27,63,90,51,6,1
18/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,15,0,42,57,9,9,0
18/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,29,29,18,0,0
18/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,21,91,112,38,0,0
18/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,27,29,5,5,0
18/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,33,38,4,0,1
18/02/2013,Clinique des Diaconesses,SOS Main,0,1,33,34,1,7,0
18/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,56,60,2,5,0
18/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
18/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
17/02/2013,CCOM,CCOM Chirurgie,0,0,21,21,1,0,0
17/02/2013,CH Altkirch,Upatou,0,5,36,41,6,1,1
17/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,9,0,59,68,9,0,0
17/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,24,119,143,26,14,0
17/02/2013,CH de Guebwiller,UHTCD,0,4,32,36,1,2,0
17/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,18,0,32,50,2,2,0
17/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,1,18,113,132,12,11,2
17/02/2013,CH de Saverne,S.A.U. (ADULTES),0,7,34,41,8,6,2
17/02/2013,CH de Saverne,PEDIATRIE,5,0,15,20,3,0,0
17/02/2013,CH de Thann,Urgences,0,3,33,36,3,1,0
17/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,28,71,99,34,4,1
17/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,1,1,28,30,2,2,0
17/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,18,0,61,79,16,16,0
17/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,20,20,6,0,0
17/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,13,82,95,26,0,0
17/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,4,43,47,4,0,0
17/02/2013,Clinique des Diaconesses,SOS Main,0,0,28,28,0,14,0
17/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,2,4,88,94,2,4,1
17/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
17/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
16/02/2013,CCOM,CCOM Chirurgie,0,1,11,12,2,0,0
16/02/2013,CH Altkirch,Upatou,0,7,33,40,6,1,1
16/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,12,0,45,57,8,0,0
16/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,25,109,134,22,13,4
16/02/2013,CH de Guebwiller,UHTCD,0,4,51,55,2,5,7
16/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,18,0,31,49,1,3,0
16/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,0,17,109,126,0,21,4
16/02/2013,CH de Saverne,S.A.U. (ADULTES),0,11,42,53,6,6,3
16/02/2013,CH de Saverne,PEDIATRIE,3,0,23,26,2,0,0
16/02/2013,CH de Sélestat,Acceuil des urgences,4,13,52,69,18,4,1
16/02/2013,CH de Thann,Urgences,0,6,35,41,4,2,2
16/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,19,85,104,49,3,0
16/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,0,0,27,27,1,1,0
16/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,20,91,111,50,0,1
16/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,22,0,68,90,8,8,0
16/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),1,0,28,29,10,0,0
16/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,38,43,4,0,1
16/02/2013,Clinique des Diaconesses,SOS Main,0,0,34,34,0,0,0
16/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,3,73,76,1,7,1
16/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
16/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
15/02/2013,CCOM,CCOM Chirurgie,0,1,15,16,3,0,0
15/02/2013,CH Altkirch,Upatou,0,4,8,12,1,25,2
15/02/2013,CH de Colmar (CMC Le Parc),SAU Le Parc,11,0,46,57,10,0,0
15/02/2013,CH de Colmar (Louis Pasteur),SAU Pasteur,0,29,103,132,26,11,4
15/02/2013,CH de Guebwiller,UHTCD,0,2,33,35,0,2,2
15/02/2013,CH de Mulhouse ( Hasenrain),PEDIATRIE NEONATOLOGIE,15,0,29,44,9,1,0
15/02/2013,CH de Mulhouse (Emile Muller-Moenschberg,URGENCES,2,26,123,151,18,10,2
15/02/2013,CH de Saverne,PEDIATRIE,3,0,17,20,2,1,0
15/02/2013,CH de Saverne,S.A.U. (ADULTES),0,9,36,45,9,4,0
15/02/2013,CH de Sélestat,Acceuil des urgences,2,14,70,86,25,3,4
15/02/2013,CH de Thann,Urgences,0,10,22,32,6,0,0
15/02/2013,CHU de Strasbourg (Hôp. Civil),Urgences Médico-Chirurgicales NHC,0,15,66,81,44,11,1
15/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,2,0,38,40,7,7,0
15/02/2013,CHU de Strasbourg(Hautepierre),Gynéco-Obstétrique (HTP),0,0,29,29,10,0,0
15/02/2013,CHU de Strasbourg(Hautepierre),Urgences Adulte HTP,0,15,81,96,36,0,0
15/02/2013,CHU de Strasbourg(Hautepierre),Urgences chirurgicales pédiatriques,15,0,42,57,3,2,0
15/02/2013,Clinique des 3 Frontières,UPATOU (Structure des urgences),0,5,38,43,8,0,0
15/02/2013,Clinique des Diaconesses,SOS Main,0,3,35,38,0,0,0
15/02/2013,Clinique Ste Odile (Strasbourg,UPATOU,0,4,57,61,1,8,3
15/02/2013,CMCO,GYNECO-OBSTETRIQUE,0,0,0,0,0,0,0
15/02/2013,SIHCUS/CMCO,GYNECOLOGIE ET OBSTETRIQUE - CMCO,0,0,0,0,0,0,0
14/02/2013,CCOM,CCOM Chirurgie,0,1,18,19,2,0,0
14/02/2013,CH Altkirch,Upatou,0,8,22,30,4,1,1
