date,service,affaires,primaires,secondaires,néonat,TIIH,ASSU,VSAV,conseils,Medecins
27/11/2012,SAMU 67,605,50,10,6,0,95,28,60,40
26/11/2012,SAMU 67,901,53,7,1,0,114,26,58,53
25/11/2012,SAMU 67,1121,47,4,0,0,116,35,143,247
24/11/2012,SAMU 67,1124,50,10,0,0,137,30,99,132
23/11/2012,SAMU 67,704,48,5,0,0,107,27,52,38
22/11/2012,SAMU 67,848,55,7,1,0,108,35,63,45
21/11/2012,SAMU 67,715,39,8,1,0,89,26,39,61
20/11/2012,SAMU 67,747,42,14,2,0,106,45,44,57
19/11/2012,SAMU 67,820,51,8,1,0,113,43,55,46
18/11/2012,SAMU 67,1031,41,1,0,0,108,34,125,229
17/11/2012,SAMU 67,1034,37,4,1,0,94,40,96,141
16/11/2012,SAMU 67,856,45,14,2,0,103,28,43,32
15/11/2012,SAMU 67,892,44,7,0,0,94,37,53,51
14/11/2012,SAMU 67,730,44,7,1,0,118,23,45,58
13/11/2012,SAMU 67,575,36,6,2,0,104,32,49,54
12/11/2012,SAMU 67,895,45,7,0,0,103,26,62,56
11/11/2012,SAMU 67,1077,35,8,0,0,93,28,151,195
10/11/2012,SAMU 67,1127,38,5,0,0,115,31,110,128
9/11/2012,SAMU 67,764,37,4,3,0,87,26,76,45
8/11/2012,SAMU 67,773,46,14,0,0,96,33,64,49
7/11/2012,SAMU 67,536,42,5,0,0,96,30,50,52
6/11/2012,SAMU 67,714,51,18,4,0,101,23,58,49
5/11/2012,SAMU 67,831,47,8,2,0,103,31,57,62
4/11/2012,SAMU 67,1056,37,6,0,0,95,23,122,263
3/11/2012,SAMU 67,991,39,6,1,0,117,25,115,147
2/11/2012,SAMU 67,757,38,3,1,0,109,23,56,73
1/11/2012,SAMU 67,1063,48,3,1,0,126,29,112,226
31/10/2012,SAMU 67,793,36,8,4,0,120,31,88,48
30/10/2012,SAMU 67,773,43,9,1,0,90,27,63,55
29/10/2012,SAMU 67,585,36,8,1,0,112,23,48,44
28/10/2012,SAMU 67,1113,58,4,0,0,117,40,121,203
27/10/2012,SAMU 67,845,53,8,2,0,97,33,77,122
26/10/2012,SAMU 67,1076,50,7,0,0,97,41,55,54
25/10/2012,SAMU 67,712,38,6,0,0,83,28,74,39
24/10/2012,SAMU 67,725,39,9,5,0,107,22,76,53
23/10/2012,SAMU 67,667,42,14,3,0,101,25,61,46
22/10/2012,SAMU 67,946,44,9,0,0,109,26,68,51
21/10/2012,SAMU 67,1046,49,6,0,0,113,24,115,208
20/10/2012,SAMU 67,1027,41,7,0,0,138,28,90,150
19/10/2012,SAMU 67,778,52,6,0,0,105,28,48,51
18/10/2012,SAMU 67,830,47,10,2,0,105,37,59,52
17/10/2012,SAMU 67,776,47,8,1,0,106,30,57,60
16/10/2012,SAMU 67,880,43,14,4,0,113,20,50,46
15/10/2012,SAMU 67,671,40,8,2,0,93,30,56,36
14/10/2012,SAMU 67,1116,39,2,0,0,108,22,142,244
13/10/2012,SAMU 67,1004,50,2,0,0,112,26,86,132
12/10/2012,SAMU 67,994,48,5,0,0,93,32,59,43
11/10/2012,SAMU 67,691,49,8,1,0,116,23,58,50
10/10/2012,SAMU 67,700,47,10,1,0,97,21,57,51
9/10/2012,SAMU 67,858,51,10,1,0,109,20,52,47
8/10/2012,SAMU 67,878,34,9,1,0,95,16,67,59
7/10/2012,SAMU 67,1318,42,4,0,0,103,27,138,230
6/10/2012,SAMU 67,1111,53,3,0,0,108,26,114,122
5/10/2012,SAMU 67,832,40,11,1,0,88,38,56,65
4/10/2012,SAMU 67,817,46,7,1,0,111,36,48,57
3/10/2012,SAMU 67,760,42,11,3,0,112,25,53,49
2/10/2012,SAMU 67,869,54,13,4,0,110,22,35,57
1/10/2012,SAMU 67,840,59,7,2,0,116,26,49,52
30/09/2012,SAMU 67,1098,26,7,0,0,101,31,122,241
29/09/2012,SAMU 67,1067,64,4,1,0,113,30,87,140
28/09/2012,SAMU 67,800,54,10,0,0,93,29,51,42
27/09/2012,SAMU 67,928,48,5,1,0,84,33,47,64
26/09/2012,SAMU 67,774,45,7,1,0,101,22,45,54
25/09/2012,SAMU 67,736,44,5,1,0,93,24,43,50
24/09/2012,SAMU 67,817,44,7,0,0,111,30,42,65
23/09/2012,SAMU 67,1056,45,6,0,0,102,29,91,203
22/09/2012,SAMU 67,907,46,5,0,0,108,30,83,130
21/09/2012,SAMU 67,961,43,8,2,0,103,18,68,39
20/09/2012,SAMU 67,804,38,12,3,0,112,34,32,54
19/09/2012,SAMU 67,770,38,9,1,0,96,23,67,53
18/09/2012,SAMU 67,782,37,9,1,0,87,24,57,36
17/09/2012,SAMU 67,970,50,8,1,0,110,35,59,43
16/09/2012,SAMU 67,1243,46,7,1,0,113,35,87,174
15/09/2012,SAMU 67,1167,48,6,0,0,115,31,104,138
14/09/2012,SAMU 67,829,30,11,1,0,93,19,68,53
13/09/2012,SAMU 67,796,36,12,5,0,102,36,60,39
12/09/2012,SAMU 67,847,30,4,1,0,88,20,54,40
11/09/2012,SAMU 67,789,42,8,2,0,90,25,43,53
10/09/2012,SAMU 67,694,38,16,4,0,101,28,57,34
9/09/2012,SAMU 67,1103,27,4,0,0,115,26,112,205
8/09/2012,SAMU 67,1141,43,7,1,0,95,34,72,126
7/09/2012,SAMU 67,970,33,5,1,0,112,21,47,43
6/09/2012,SAMU 67,997,38,9,2,0,101,26,61,38
5/09/2012,SAMU 67,690,36,5,5,0,94,26,52,41
4/09/2012,SAMU 67,646,41,16,4,0,83,27,48,43
3/09/2012,SAMU 67,782,55,9,2,0,92,34,38,39
2/09/2012,SAMU 67,1056,37,8,0,0,101,25,124,167
1/09/2012,SAMU 67,975,46,2,0,0,89,21,76,94
31/08/2012,SAMU 67,815,35,7,2,0,96,19,29,40
30/08/2012,SAMU 67,661,49,1,0,0,102,24,39,53
29/08/2012,SAMU 67,806,38,7,3,0,89,26,44,37
28/08/2012,SAMU 67,903,39,2,0,0,85,26,50,44
27/08/2012,SAMU 67,839,42,5,0,0,96,25,39,56
26/08/2012,SAMU 67,994,43,6,2,0,110,23,86,174
25/08/2012,SAMU 67,818,45,5,1,0,99,31,91,117
24/08/2012,SAMU 67,800,41,8,0,0,102,21,46,43
23/08/2012,SAMU 67,768,33,7,1,0,87,29,44,63
22/08/2012,SAMU 67,841,40,5,2,0,87,34,59,56
21/08/2012,SAMU 67,804,42,8,3,0,114,23,49,68
20/08/2012,SAMU 67,634,45,7,1,0,104,25,58,47
19/08/2012,SAMU 67,1045,37,4,0,0,96,42,94,231
18/08/2012,SAMU 67,928,40,3,0,0,109,23,72,131
17/08/2012,SAMU 67,866,37,10,1,0,98,23,51,44
16/08/2012,SAMU 67,742,35,7,2,0,103,21,68,57
15/08/2012,SAMU 67,973,28,6,1,0,96,19,117,185
14/08/2012,SAMU 67,659,48,7,1,0,92,35,47,59
13/08/2012,SAMU 67,708,28,11,3,0,110,24,44,54
12/08/2012,SAMU 67,941,37,7,0,0,99,34,112,154
11/08/2012,SAMU 67,929,39,6,1,0,99,41,79,115
10/08/2012,SAMU 67,605,48,9,1,0,105,20,35,48
9/08/2012,SAMU 67,671,41,13,3,0,100,29,47,62
8/08/2012,SAMU 67,819,40,6,0,0,99,13,48,46
7/08/2012,SAMU 67,547,38,11,1,0,74,21,38,42
6/08/2012,SAMU 67,710,39,6,1,0,102,23,37,51
5/08/2012,SAMU 67,971,55,4,0,0,108,40,142,173
4/08/2012,SAMU 67,907,39,5,1,0,111,38,79,139
3/08/2012,SAMU 67,790,41,10,1,0,104,21,38,38
2/08/2012,SAMU 67,882,39,6,2,0,102,24,40,52
1/08/2012,SAMU 67,621,57,9,1,0,107,17,43,40
31/07/2012,SAMU 67,578,47,13,1,0,83,17,52,50
30/07/2012,SAMU 67,592,37,15,5,0,100,29,31,55
29/07/2012,SAMU 67,942,38,4,0,0,91,31,90,226
28/07/2012,SAMU 67,1075,44,8,3,0,104,36,103,135
27/07/2012,SAMU 67,932,53,11,2,0,108,22,43,43
26/07/2012,SAMU 67,652,48,18,2,0,110,24,39,46
25/07/2012,SAMU 67,779,42,15,3,0,110,26,59,44
24/07/2012,SAMU 67,795,45,13,4,0,97,25,45,50
23/07/2012,SAMU 67,709,37,3,0,0,94,24,44,48
22/07/2012,SAMU 67,1012,33,2,0,0,92,31,113,184
21/07/2012,SAMU 67,780,32,1,0,0,95,20,82,153
20/07/2012,SAMU 67,693,35,7,1,0,87,22,51,43
19/07/2012,SAMU 67,792,50,16,3,0,111,23,38,45
18/07/2012,SAMU 67,792,52,13,4,0,94,34,52,63
17/07/2012,SAMU 67,796,42,6,3,0,105,25,59,45
16/07/2012,SAMU 67,781,50,11,4,0,102,27,52,51
15/07/2012,SAMU 67,1033,38,9,0,0,119,25,117,228
14/07/2012,SAMU 67,1307,43,4,0,0,95,31,125,265
13/07/2012,SAMU 67,718,37,16,4,0,85,23,37,76
12/07/2012,SAMU 67,595,34,16,3,0,92,16,48,74
11/07/2012,SAMU 67,501,50,12,2,0,90,30,53,49
10/07/2012,SAMU 67,856,52,9,1,0,106,26,54,56
9/07/2012,SAMU 67,692,38,15,1,0,98,24,58,45
8/07/2012,SAMU 67,1171,32,6,0,0,106,23,161,263
7/07/2012,SAMU 67,1047,44,3,0,0,97,26,112,140
6/07/2012,SAMU 67,713,41,5,0,0,105,29,63,47
5/07/2012,SAMU 67,825,47,8,3,0,89,25,67,46
4/07/2012,SAMU 67,856,41,8,2,0,110,23,78,63
3/07/2012,SAMU 67,753,49,11,2,0,127,40,54,65
2/07/2012,SAMU 67,608,38,5,1,0,111,35,58,54
1/07/2012,SAMU 67,1155,58,3,0,0,111,26,123,253
30/06/2012,SAMU 67,1071,39,5,0,0,116,33,102,159
29/06/2012,SAMU 67,1021,41,12,3,0,112,33,60,57
28/06/2012,SAMU 67,1045,50,7,1,0,105,23,68,67
27/06/2012,SAMU 67,705,52,12,2,0,98,25,73,49
26/06/2012,SAMU 67,834,34,4,2,0,104,29,71,36
25/06/2012,SAMU 67,684,43,7,2,0,96,23,46,54
24/06/2012,SAMU 67,1308,40,8,0,0,98,31,139,234
23/06/2012,SAMU 67,1155,43,3,0,0,101,31,102,143
22/06/2012,SAMU 67,953,52,8,3,0,107,30,59,44
21/06/2012,SAMU 67,898,40,4,1,0,96,30,64,48
20/06/2012,SAMU 67,885,62,7,0,0,104,29,43,60
19/06/2012,SAMU 67,672,34,8,1,0,102,34,66,52
18/06/2012,SAMU 67,860,50,8,1,0,109,24,51,59
17/06/2012,SAMU 67,1090,35,2,0,0,114,38,99,250
16/06/2012,SAMU 67,1057,53,5,1,0,124,34,88,171
15/06/2012,SAMU 67,777,42,7,0,0,92,24,60,59
14/06/2012,SAMU 67,871,45,10,0,0,94,32,59,45
13/06/2012,SAMU 67,857,36,4,0,0,95,21,50,47
12/06/2012,SAMU 67,733,43,11,1,0,107,22,47,44
11/06/2012,SAMU 67,689,45,6,1,0,107,28,57,44
10/06/2012,SAMU 67,1010,30,4,0,0,92,28,96,216
9/06/2012,SAMU 67,963,40,8,1,0,109,26,141,128
8/06/2012,SAMU 67,897,42,3,0,0,90,32,56,57
7/06/2012,SAMU 67,748,34,8,5,0,100,23,69,43
6/06/2012,SAMU 67,626,43,7,0,0,91,23,53,30
5/06/2012,SAMU 67,656,45,11,5,0,98,28,41,48
4/06/2012,SAMU 67,838,37,10,2,0,111,33,59,58
3/06/2012,SAMU 67,1037,39,6,1,0,114,25,112,214
2/06/2012,SAMU 67,1038,36,3,0,0,111,33,87,160
1/06/2012,SAMU 67,796,34,7,1,0,77,21,42,59
31/05/2012,SAMU 67,867,36,13,4,0,109,37,84,67
30/05/2012,SAMU 67,717,46,6,0,0,93,16,53,50
29/05/2012,SAMU 67,814,52,9,1,0,111,40,51,75
28/05/2012,SAMU 67,1342,39,6,0,0,99,30,201,290
27/05/2012,SAMU 67,1266,37,8,0,0,107,32,143,286
26/05/2012,SAMU 67,1123,52,11,0,0,117,32,89,141
25/05/2012,SAMU 67,838,40,11,2,0,97,30,56,55
24/05/2012,SAMU 67,1006,48,4,0,0,97,30,62,61
23/05/2012,SAMU 67,840,47,11,1,0,92,20,57,50
22/05/2012,SAMU 67,749,42,14,3,0,105,40,46,40
21/05/2012,SAMU 67,755,42,8,5,0,109,18,57,48
20/05/2012,SAMU 67,1093,44,9,1,0,106,27,91,211
19/05/2012,SAMU 67,1145,42,4,1,0,109,20,107,126
18/05/2012,SAMU 67,928,50,10,1,0,102,24,63,58
17/05/2012,SAMU 67,1000,33,2,0,0,104,23,95,202
16/05/2012,SAMU 67,688,41,7,0,0,95,22,71,53
15/05/2012,SAMU 67,821,34,12,2,0,86,25,44,50
14/05/2012,SAMU 67,797,44,7,1,0,94,31,41,48
13/05/2012,SAMU 67,1010,53,3,0,0,105,32,117,195
12/05/2012,SAMU 67,935,39,3,0,0,104,33,100,144
11/05/2012,SAMU 67,838,44,5,2,0,106,30,37,56
10/05/2012,SAMU 67,870,32,4,0,0,100,18,50,55
9/05/2012,SAMU 67,938,43,13,1,0,111,23,46,52
8/05/2012,SAMU 67,917,32,3,1,0,87,26,120,168
7/05/2012,SAMU 67,730,39,9,2,0,95,27,31,73
6/05/2012,SAMU 67,934,48,5,2,0,122,36,96,203
5/05/2012,SAMU 67,1048,34,3,0,0,99,29,105,141
4/05/2012,SAMU 67,778,35,11,0,0,87,32,57,54
3/05/2012,SAMU 67,682,33,6,3,0,99,18,54,58
2/05/2012,SAMU 67,638,32,4,2,0,112,15,45,61
1/05/2012,SAMU 67,878,52,4,0,0,96,31,101,220
30/04/2012,SAMU 67,770,36,5,2,0,99,25,74,71
29/04/2012,SAMU 67,1071,47,6,0,0,98,22,110,211
28/04/2012,SAMU 67,1038,61,7,2,0,125,32,103,154
27/04/2012,SAMU 67,668,52,8,2,0,101,22,41,57
26/04/2012,SAMU 67,654,40,15,7,0,97,29,63,55
25/04/2012,SAMU 67,672,48,7,1,0,99,21,56,42
24/04/2012,SAMU 67,658,35,12,2,0,96,17,53,63
23/04/2012,SAMU 67,712,30,12,4,0,107,20,51,69
22/04/2012,SAMU 67,1196,28,5,2,0,114,27,145,234
21/04/2012,SAMU 67,972,46,4,1,0,107,37,80,158
20/04/2012,SAMU 67,843,41,10,4,0,98,16,46,49
19/04/2012,SAMU 67,846,37,16,1,0,117,23,48,66
18/04/2012,SAMU 67,666,30,9,1,0,98,16,56,55
17/04/2012,SAMU 67,788,47,9,4,0,113,30,59,45
16/04/2012,SAMU 67,758,38,12,2,0,115,22,59,57
15/04/2012,SAMU 67,1304,30,10,1,0,101,33,152,235
14/04/2012,SAMU 67,1072,33,12,1,0,101,26,73,170
13/04/2012,SAMU 67,891,39,11,2,0,107,36,52,64
12/04/2012,SAMU 67,639,41,4,2,0,112,22,50,57
11/04/2012,SAMU 67,641,38,5,3,0,106,23,61,64
10/04/2012,SAMU 67,862,43,8,1,0,110,20,55,62
9/04/2012,SAMU 67,1368,35,9,2,0,98,14,150,306
8/04/2012,SAMU 67,1241,51,3,0,0,106,35,159,319
7/04/2012,SAMU 67,1067,59,5,0,0,123,31,124,210
6/04/2012,SAMU 67,996,33,3,0,0,87,25,149,245
5/04/2012,SAMU 67,803,38,7,1,0,99,24,70,66
4/04/2012,SAMU 67,734,31,10,3,0,90,24,65,56
3/04/2012,SAMU 67,779,54,8,3,0,105,31,59,60
2/04/2012,SAMU 67,791,46,10,2,0,104,27,69,73
1/04/2012,SAMU 67,1190,35,3,1,0,93,25,126,248
31/03/2012,SAMU 67,1170,48,9,0,0,103,29,94,147
30/03/2012,SAMU 67,788,41,10,2,0,111,8,70,60
29/03/2012,SAMU 67,835,36,3,0,0,100,23,77,72
28/03/2012,SAMU 67,629,35,8,0,0,95,20,60,53
27/03/2012,SAMU 67,620,40,14,2,0,100,22,61,71
26/03/2012,SAMU 67,944,47,10,2,0,111,32,65,39
25/03/2012,SAMU 67,1133,30,1,0,0,91,16,118,261
24/03/2012,SAMU 67,1012,37,10,2,0,113,19,104,135
23/03/2012,SAMU 67,694,34,8,1,0,101,17,61,61
22/03/2012,SAMU 67,847,38,13,1,0,106,23,42,62
21/03/2012,SAMU 67,761,32,17,1,0,101,26,58,51
20/03/2012,SAMU 67,846,42,15,5,0,97,24,65,58
19/03/2012,SAMU 67,750,58,6,0,0,103,34,59,43
18/03/2012,SAMU 67,1078,47,5,0,0,98,33,104,232
17/03/2012,SAMU 67,944,41,7,2,0,95,29,106,119
16/03/2012,SAMU 67,807,36,10,1,0,105,19,52,71
15/03/2012,SAMU 67,860,20,14,3,0,105,29,59,64
14/03/2012,SAMU 67,596,39,7,3,0,101,24,63,43
13/03/2012,SAMU 67,917,40,15,3,0,109,24,68,61
12/03/2012,SAMU 67,673,52,8,1,0,118,18,49,55
11/03/2012,SAMU 67,1148,38,7,1,0,90,27,166,266
10/03/2012,SAMU 67,1146,54,11,1,0,108,29,102,147
9/03/2012,SAMU 67,784,50,6,0,0,93,19,70,54
8/03/2012,SAMU 67,653,44,17,3,0,98,10,51,51
7/03/2012,SAMU 67,751,42,12,1,0,107,12,53,68
6/03/2012,SAMU 67,787,40,10,1,0,108,24,72,69
5/03/2012,SAMU 67,766,61,10,2,0,90,32,44,61
4/03/2012,SAMU 67,1169,38,5,1,0,101,26,182,262
3/03/2012,SAMU 67,914,38,5,1,0,104,26,106,169
2/03/2012,SAMU 67,676,41,10,3,0,105,27,52,48
1/03/2012,SAMU 67,805,54,17,2,0,121,34,45,56
29/02/2012,SAMU 67,849,43,10,1,0,102,31,69,66
28/02/2012,SAMU 67,807,47,9,0,0,109,20,58,66
27/02/2012,SAMU 67,831,36,15,5,0,125,28,93,80
26/02/2012,SAMU 67,1299,51,10,1,0,117,45,239,313
25/02/2012,SAMU 67,1066,38,4,3,0,119,28,110,219
24/02/2012,SAMU 67,891,44,13,4,0,101,37,73,71
23/02/2012,SAMU 67,741,29,18,3,0,107,18,66,77
22/02/2012,SAMU 67,835,47,10,1,0,110,22,87,73
21/02/2012,SAMU 67,771,60,3,0,0,104,31,81,53
20/02/2012,SAMU 67,904,36,5,0,0,101,25,73,71
19/02/2012,SAMU 67,1582,65,2,1,0,107,30,216,348
18/02/2012,SAMU 67,1137,48,5,1,0,106,24,162,173
17/02/2012,SAMU 67,807,45,15,1,0,121,23,83,62
16/02/2012,SAMU 67,821,43,8,2,0,99,24,70,77
15/02/2012,SAMU 67,775,56,8,2,0,117,29,69,76
14/02/2012,SAMU 67,676,42,6,2,0,103,24,75,58
13/02/2012,SAMU 67,852,41,19,3,0,100,28,53,75
12/02/2012,SAMU 67,1269,30,6,0,0,106,23,161,352
11/02/2012,SAMU 67,1062,36,4,2,0,106,36,129,154
10/02/2012,SAMU 67,757,46,14,2,0,114,33,56,71
9/02/2012,SAMU 67,690,37,12,0,0,100,18,59,80
8/02/2012,SAMU 67,913,51,6,3,0,118,27,68,76
7/02/2012,SAMU 67,657,42,6,1,0,104,24,52,67
6/02/2012,SAMU 67,811,51,9,1,0,93,31,57,67
5/02/2012,SAMU 67,1278,38,4,0,0,106,21,156,329
4/02/2012,SAMU 67,1077,40,7,0,0,113,23,113,174
3/02/2012,SAMU 67,742,39,8,4,0,113,26,87,63
2/02/2012,SAMU 67,723,39,6,1,0,115,24,70,74
1/02/2012,SAMU 67,631,38,12,2,0,100,23,59,63
31/01/2012,SAMU 67,733,41,0,0,0,106,20,59,50
30/01/2012,SAMU 67,766,43,9,4,0,98,27,62,71
29/01/2012,SAMU 67,1096,43,4,0,0,102,23,162,270
28/01/2012,SAMU 67,979,53,5,0,0,101,41,92,162
27/01/2012,SAMU 67,657,59,5,2,0,106,34,83,45
26/01/2012,SAMU 67,632,37,14,2,0,87,17,48,54
25/01/2012,SAMU 67,845,45,7,0,0,99,21,63,57
24/01/2012,SAMU 67,704,43,15,5,0,114,24,64,49
23/01/2012,SAMU 67,710,52,7,1,0,119,34,65,70
22/01/2012,SAMU 67,1061,43,7,0,0,118,25,141,242
21/01/2012,SAMU 67,814,44,8,1,0,97,21,89,174
20/01/2012,SAMU 67,679,58,10,1,0,99,30,55,45
19/01/2012,SAMU 67,693,24,6,3,0,104,21,58,42
18/01/2012,SAMU 67,620,56,12,0,0,113,23,56,40
17/01/2012,SAMU 67,728,35,8,1,0,101,24,70,46
16/01/2012,SAMU 67,717,41,14,5,0,122,26,67,55
15/01/2012,SAMU 67,1113,38,7,0,0,104,36,110,257
14/01/2012,SAMU 67,913,26,6,3,0,111,19,94,139
13/01/2012,SAMU 67,700,44,11,3,0,113,20,62,78
12/01/2012,SAMU 67,607,51,11,0,0,87,36,61,65
11/01/2012,SAMU 67,830,40,10,1,0,104,25,61,52
10/01/2012,SAMU 67,833,47,10,1,0,86,17,47,59
9/01/2012,SAMU 67,715,40,12,3,0,111,20,41,74
8/01/2012,SAMU 67,1149,33,5,2,0,119,25,142,248
7/01/2012,SAMU 67,909,34,10,1,0,105,23,125,176
6/01/2012,SAMU 67,557,45,14,5,0,107,19,50,40
5/01/2012,SAMU 67,842,29,10,2,0,102,25,63,57
4/01/2012,SAMU 67,695,39,13,4,0,108,12,66,52
3/01/2012,SAMU 67,763,43,13,0,0,112,16,65,67
2/01/2012,SAMU 67,672,40,6,3,0,111,14,45,84
1/01/2012,SAMU 67,1316,43,3,1,0,155,45,159,219
31/12/2012,SAMU 68,634,19,8,0,0,27,69,217,101
30/12/2012,SAMU 68,709,15,5,0,0,20,47,275,224
29/12/2012,SAMU 68,750,11,1,0,0,12,82,442,135
28/12/2012,SAMU 68,582,17,7,0,0,24,74,222,65
27/12/2012,SAMU 68,540,11,5,0,0,16,69,195,84
26/12/2012,SAMU 68,979,19,4,0,0,23,64,406,321
25/12/2012,SAMU 68,744,24,5,0,0,29,64,327,238
24/12/2012,SAMU 68,567,17,6,0,0,23,62,260,91
23/12/2012,SAMU 68,834,17,4,0,0,21,66,275,272
22/12/2012,SAMU 68,630,15,11,0,0,26,68,311,127
21/12/2012,SAMU 68,463,15,3,0,0,18,104,155,33
20/12/2012,SAMU 68,472,15,8,0,0,23,71,170,44
19/12/2012,SAMU 68,504,10,6,0,0,16,63,128,54
18/12/2012,SAMU 68,426,11,5,0,0,16,66,122,39
17/12/2012,SAMU 68,442,21,4,0,0,25,83,182,53
16/12/2012,SAMU 68,702,14,4,0,0,18,68,246,199
15/12/2012,SAMU 68,689,21,8,0,0,29,114,233,140
14/12/2012,SAMU 68,493,17,9,1,0,26,112,139,39
13/12/2012,SAMU 68,437,20,3,0,0,23,93,135,51
12/12/2012,SAMU 68,421,13,3,0,0,16,79,160,35
11/12/2012,SAMU 68,439,19,7,0,0,26,79,121,38
10/12/2012,SAMU 68,510,25,16,0,0,39,82,158,31
9/12/2012,SAMU 68,627,23,4,0,0,27,88,232,143
8/12/2012,SAMU 68,598,18,3,0,0,21,95,345,122
7/12/2012,SAMU 68,523,13,12,0,0,26,113,171,23
6/12/2012,SAMU 68,412,21,10,0,0,31,108,139,54
5/12/2012,SAMU 68,449,13,7,0,0,20,74,148,39
4/12/2012,SAMU 68,434,20,5,0,0,25,80,117,31
3/12/2012,SAMU 68,497,17,2,0,0,19,71,150,43
2/12/2012,SAMU 68,610,16,1,0,0,17,90,270,115
1/12/2012,SAMU 68,536,12,6,0,0,18,69,224,97
30/11/2012,SAMU 68,542,15,4,0,0,19,89,138,40
29/11/2012,SAMU 68,376,22,8,0,0,30,106,129,37
28/11/2012,SAMU 68,472,10,6,0,0,16,70,118,39
27/11/2012,SAMU 68,487,21,6,0,0,27,92,111,23
26/11/2012,SAMU 68,444,20,6,0,0,26,79,138,28
25/11/2012,SAMU 68,577,21,4,0,0,25,96,295,108
24/11/2012,SAMU 68,552,12,3,0,0,15,72,211,100
23/11/2012,SAMU 68,377,13,4,0,0,17,70,120,34
22/11/2012,SAMU 68,347,21,5,0,0,26,84,107,37
21/11/2012,SAMU 68,313,9,2,0,0,11,68,101,27
20/11/2012,SAMU 68,497,7,5,0,0,12,66,133,37
19/11/2012,SAMU 68,341,16,5,0,0,21,73,124,31
18/11/2012,SAMU 68,569,20,2,0,0,22,78,264,116
17/11/2012,SAMU 68,484,16,3,0,0,19,81,160,75
16/11/2012,SAMU 68,398,18,6,0,0,24,71,99,20
15/11/2012,SAMU 68,503,5,5,0,0,10,63,118,19
14/11/2012,SAMU 68,451,16,7,0,0,23,52,119,21
13/11/2012,SAMU 68,405,17,4,0,0,21,80,95,19
12/11/2012,SAMU 68,411,21,7,0,0,28,83,113,36
11/11/2012,SAMU 68,510,24,5,1,0,29,78,169,129
10/11/2012,SAMU 68,572,15,7,0,0,22,77,206,102
9/11/2012,SAMU 68,405,20,9,0,0,29,89,128,33
8/11/2012,SAMU 68,371,12,8,0,0,20,78,86,28
7/11/2012,SAMU 68,436,23,2,0,0,25,66,99,29
6/11/2012,SAMU 68,410,15,1,0,0,16,84,163,26
5/11/2012,SAMU 68,392,21,4,0,0,25,65,103,40
4/11/2012,SAMU 68,529,9,2,0,0,11,55,199,129
3/11/2012,SAMU 68,625,5,4,0,0,9,75,219,86
2/11/2012,SAMU 68,483,8,12,0,0,20,59,147,44
1/11/2012,SAMU 68,499,11,4,0,0,15,70,154,119
31/10/2012,SAMU 68,494,9,6,0,0,15,66,152,40
30/10/2012,SAMU 68,399,22,3,0,0,25,90,120,41
29/10/2012,SAMU 68,461,24,9,0,0,33,90,133,34
28/10/2012,SAMU 68,515,20,7,0,0,27,71,204,109
